n_estimators,max_depth,min_samples_split,train_acc,test_acc,model_file
50,,2,1.0,0.9583333333333334,rf_n50_dNone_s2_weighted.joblib
50,,5,1.0,0.9583333333333334,rf_n50_dNone_s5_weighted.joblib
50,,10,1.0,0.9583333333333334,rf_n50_dNone_s10_weighted.joblib
50,10.0,2,1.0,0.9583333333333334,rf_n50_d10_s2_weighted.joblib
50,10.0,5,1.0,0.9583333333333334,rf_n50_d10_s5_weighted.joblib
50,10.0,10,1.0,0.9583333333333334,rf_n50_d10_s10_weighted.joblib
50,20.0,2,1.0,0.9583333333333334,rf_n50_d20_s2_weighted.joblib
50,20.0,5,1.0,0.9583333333333334,rf_n50_d20_s5_weighted.joblib
50,20.0,10,1.0,0.9583333333333334,rf_n50_d20_s10_weighted.joblib
100,,2,1.0,0.9583333333333334,rf_n100_dNone_s2_weighted.joblib
100,,5,1.0,0.9583333333333334,rf_n100_dNone_s5_weighted.joblib
100,,10,1.0,0.9583333333333334,rf_n100_dNone_s10_weighted.joblib
100,10.0,2,1.0,0.9583333333333334,rf_n100_d10_s2_weighted.joblib
100,10.0,5,1.0,0.9583333333333334,rf_n100_d10_s5_weighted.joblib
100,10.0,10,1.0,0.9583333333333334,rf_n100_d10_s10_weighted.joblib
100,20.0,2,1.0,0.9583333333333334,rf_n100_d20_s2_weighted.joblib
100,20.0,5,1.0,0.9583333333333334,rf_n100_d20_s5_weighted.joblib
100,20.0,10,1.0,0.9583333333333334,rf_n100_d20_s10_weighted.joblib
200,,2,1.0,0.9583333333333334,rf_n200_dNone_s2_weighted.joblib
200,,5,1.0,0.9583333333333334,rf_n200_dNone_s5_weighted.joblib
200,,10,1.0,0.9583333333333334,rf_n200_dNone_s10_weighted.joblib
200,10.0,2,1.0,0.9583333333333334,rf_n200_d10_s2_weighted.joblib
200,10.0,5,1.0,0.9583333333333334,rf_n200_d10_s5_weighted.joblib
200,10.0,10,1.0,0.9583333333333334,rf_n200_d10_s10_weighted.joblib
200,20.0,2,1.0,0.9583333333333334,rf_n200_d20_s2_weighted.joblib
200,20.0,5,1.0,0.9583333333333334,rf_n200_d20_s5_weighted.joblib
200,20.0,10,1.0,0.9583333333333334,rf_n200_d20_s10_weighted.joblib
